image,latin_name,common_name,family,family_features,species_features,habitat,flowering_time
,Primula vulgaris,Primrose,Primulaceae,"1) Lvs generally basal rosettes only (or along stems) without stipules  2) Fls regular usually in parts of five with corolla of petals joined in tube  3) Stamens attached to corolla-tube and opposite its lobes, with superior ovary and one style",1) Lvs unstalked obovate or spoon-shaped and wrinkled 2) Fls upright borne singly on wooly lfless stalks,Woods Hedgebanks Grasslands ,Mar-Jun
,Ranunculus ficaria (Ficaria verna),Lesser Celandine,Ranunculaceae,1) Lvs alternate with no stipules 2) Fls usually 5 sepals and 5 petals 3) Many stamens many carpels and superior ovary,1) Lvs long-stalked cordate glossy hairless 2) Fls glossy yellow solitary with usually 3 oval sepals and 8-12 narrow oval petals ,Damp loamy or clay soils Woods Meadows Hedgebanks ,Mar-May
,Arabidopsis thaliana,Thale Cress ,Brassicaceae,1) Lvs alternate without stipules 2) Fls racemose inflorescence with 4 free sepals and 4 free petals arranged in a cross shape with usually 6 stamens and 2 carpels 3) Fr normally two-celled silique or capsule opening from bottom upwards,1) Basal rosette of stalked elliptical hairy lvs but hairless on stem 2) Frs narrow curved cylindrical with convex strong-veined valves that are borne obliquely on slender spreading stalks,Walls Pavements Dry sandy open ground ,Apr-Jul
,Capsella bursa-pastoris,Shepherd’s Purse ,Brassicaceae,1) Lvs alternate without stipules 2) Fls racemose inflorescence with 4 free sepals and 4 free petals arranged in a cross with usually 6 stamens and 2 carpels 3) Fr normally two-celled silique or capsule opening from bottom upwards,1) Lvs clasping stem with basal arrow-shaped auricles 2) Fls erect racemes 3) Fr erect triangle shape with notched wide top facing upwards,Wastland Roadsides Arable ,Jan-Dec
,Cardamine hirsuta ,Hairy Bittercress,Brassicaceae,1) Lvs alternate without stipules 2) Fls racemose inflorescence with 4 free sepals and 4 free petals arranged in a cross with usually 6 stamens and 2 carpels 3) Fr normally two-celled silique or capsule opening from bottom upwards,1) Lvs pinnately compound sparsley hairy 2) Fls narrow petals twice length of sepals 4 stamens 3) Diffentiate from C flexuosa by number of stamens (4 vs 6),Walls Gardens Wastelands Rocks (drier places generally than C flexuosa) ,Mar-Sep
,Cardamine flexuosa,Wavy Bittercress,Brassicaceae,1) Lvs alternate without stipules 2) Fls racemose inflorescence with 4 free sepals and 4 free petals arranged in a cross with usually 6 stamens and 2 carpels 3) Fr normally two-celled silique or capsule opening from bottom upwards,1) Lvs pinnately compound sparsley hairy with wavy stem 2) Fls narrow petals twice length of sepals 6 stamens with 2 shorter (easily overlooked)  3) Diffentiate from C hirsuta by number of stamens (6 vs 4),Damp places Streamsides Wastlands Gardens ,Mar-Sep
,Erophila verna,Common Whitlowgrass,Brassicaceae,1) Lvs alternate without stipules 2) Fls racemose inflorescence with 4 free sepals and 4 free petals arranged in a cross with usually 6 stamens and 2 carpels 3) Fr normally two-celled silique or capsule opening from bottom upwards,1) Lvs basal rosette of broad lanceolate lvs with fl stems lfless 2) Fls white notched (only white Crucifer with notched petals),Walls Rocks Open dry sandy ground ,Mar-May
,Hyacinthoides non-scripta,Common Bluebell ,Liliaceae,"1) Lvs parallel-veined unlobed untoothed  2) Fls 6 equal perianth segments, sometimes joined into a tube with ususally 6 stamens and 3-celled superior ovary",1) Lvs linear all basal glossy green 2) Infl one-sided raceme of drooping cylindrical bell-shaped fls each with 2 blue bracts at base 3) 6 perianth segments curled back at tips and parallel below with joined base and bearing filaments with cream coloured anthers,Woodlands Grasslands Hedgebanks Seacliffs in Wales ,Apr-May
,Hyacinthoides x massartiana,Hybrid Bluebell (VERY common),Liliaceae,"1) Lvs parallel-veined unlobed untoothed  2)Fls 6 equal perianth segments, sometimes joined into a tube with ususally 6 stamens and 3-celled superior ovary","1) Lvs slightly wider than H non-scriptal 2) Inf not one-sided as in H non-scripta but spiralled around stem 2) Perianth segments slightly curled back and anthers blue (in blue form, white in cream form) with 3 outer filaments fused to perianth lobes just below middle of lobe 4) Commonly grown garden plant blue or cream ",Garden escape Walls Roadsides Woodlands ,
,Silene dioica,Red Campion,Caryophyllaceae ,"1) Lvs in opp equal pairs unlobed and untoothed mostly without stipules 2) Fls usually in forked cymes with petals and sepals 5 (sometimes 4), often pink or white 3) Stamens normally twice number of sepals with superior ovary syles 2,3 or 5  4) Fr one celled capsule opening by teeth at top same number of stamens",1) Lvs opp ellitical- lanceolate hairy 2) Dioecious with males fls 10 stamens female fls 5 styles  3) Capsule 10 teeth on female plants strongly recurved ,Hedgebanks Woodlands Base-rich soils ,Mar-Oct
